drift.n.04	drift
successor.n.01	successor
child.n.02	child
boundary.n.02	boundary
championship.n.02	championship
tribe.n.03	tribe
spatula.n.02	spatula
neck.n.01	neck
repair.n.01	repair
alliance.n.04	alliance
throat.n.02	throat
coffer.n.01	coffer
library.n.01	library
bun.n.01	bun
gravity.n.01	gravity
stage.n.04	stage
instrument.n.01	instrument
register.n.05	register
bubble.n.01	bubble
gum_tree.n.01	gum_tree
plate.n.11	plate
skin.n.01	skin
ring.n.07	ring
crape.n.01	crape
release.n.09	release
crown.n.04	crown
activeness.n.02	activeness
squid.n.01	squid
airlift.n.01	airlift
legislative_act.n.01	legislative_act
squab.n.01	squab
spur.n.04	spur
garrison.n.03	garrison
position.n.07	position
attack.n.05	attack
center.n.13	center
leviathan.n.01	leviathan
canteen.n.03	canteen
electrode.n.01	electrode
information.n.03	information
indigence.n.01	indigence
rank.n.02	rank
emotional_state.n.01	emotional_state
avail.n.01	avail
loss.n.03	loss
decision.n.04	decision
apple.n.02	apple
value.n.06	value
slammer.n.01	slammer
department_of_commerce.n.01	Department_of_Commerce
executive.n.02	executive
can.n.03	can
branch_line.n.01	branch_line
part.n.11	part
mail.n.03	mail
terminus_ad_quem.n.01	terminus_ad_quem
node.n.08	node
basin.n.02	basin
privation.n.01	privation
inscription.n.01	inscription
nursing.n.03	nursing
education.n.05	education
curler.n.01	curler
tape.n.01	tape
sound.n.01	sound
toner.n.02	toner
clutter.n.01	clutter
gene.n.01	gene
speed.n.02	speed
third.n.04	third
picket.n.03	picket
moderator.n.01	moderator
muscleman.n.01	muscleman
rewrite.n.01	rewrite
way.n.05	way
communication.n.02	communication
disk.n.02	disk
crime.n.02	crime
character.n.03	character
announcer.n.01	announcer
secrecy.n.01	secrecy
establishment.n.06	establishment
breath.n.01	breath
boxer.n.04	boxer
grant.n.08	grant
manor_hall.n.01	manor_hall
minister.n.03	minister
appearance.n.03	appearance
foot.n.08	foot
scout.n.04	scout
desert.n.01	desert
fox.n.05	Fox
mouth.n.08	mouth
extension.n.04	extension
helicopter.n.01	helicopter
date.n.02	date
marmalade.n.01	marmalade
trap.n.01	trap
sight.n.04	sight
suite.n.01	suite
coil.n.04	coil
deviation.n.01	deviation
backbone.n.02	backbone
jar.n.01	jar
opportunity.n.01	opportunity
natural_gas.n.01	natural_gas
control_condition.n.01	control_condition
